Sentimiento,Regiones
P,Colombia
N,Colombia
N,Cundinamarca
N,Caracas
N,Venezuela
N,Colombia
N,Colombia
N,Venezuela
N,Colombia
N,Venezuela
N,Colombia
N,Venezuela
N,Zulia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,317
N,Colombia
N,Colombia
P,Coronel oviedo
N,Espirito santo
N,Complexo do lins
N,Colombia
N,Usa
P,Colombia
P,Idris
P,Argentina
P,Florencio varela
P,Buenos aires
P,Cde
P,Colombia
P,Argentina
P,Mar del plata
P,Colombia
P,Bsas
P,Colombia
P,Colombia
P,Nicaragua
P,Colombia
P,Colombia
P,Venezuela
P,Colombia
P,Argentina
P,Belgrade
P,Asuncion 
P,Asuncion
P,Colombia
N,Colombia
N,Colombia
N,Fresno
N,Colombia
N,Colombia
N,Alto parana
N,
N,Santander
N,Colombia
N,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Valle del Cauca
N,Medellin 
N,Colombia
N,Cundinamarca
N,Colombia
N,Antioquia
N,Colombia
N,Colombia
N,Cundinamarca
N,Miami
N,Venezuela
N,Venezuela
N,Cundinamarca
N,Colombia
P,Colombia
P,Santander
P,Cundinamarca
N,Antioquia
N,Colombia
NEU,Colombia
N,Colombia
N,Cundinamarca
N,Cundinamarca
N,Colombia
N,Complexo do lins
P,Cidade de deus
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Cundinamarca
P,Colombia
P,Somewhere
P,Colombia
P,Colombia
P,Colombia
P,Cundinamarca
P,Colombia
P,Colombia
P,Atlantico
P,Rionegro antioquia
P,Antioquia
P,Cundinamarca
P,Colombia
P,Colombia
P,Colombia
P,Pompano beach
P,Colombia
P,Panama
P,San pelayo
P,Colombia
P,Colombia
P,Bquilla
P,Colombia
P,Colombia
P,Colombia
P,Antioquia
P,Colombia
P,Antioquia
P,Respondo solo por lo que digo
P,Colombia
P,Richmond va
P,Antioquia
P,Caracas
P,Colombia
P,Caracas
P,Colombia
P,Colombia
P,Medellin colombia
P,Colombia
P,Cundinamarca
P,Colombia
P,Colombia
N,Colombia
N,Colombia
N,Pereira
N,Colombia
N,Colombia
N,Atlantico
N,Bolivar
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Puerto alegre
N,Colombia
N,Colombia
N,Huancavelica
P,Cundinamarca
P,Colombia
N,Ut 10480012
N,Colombia
N,Venezuela
N,Cundinamarca
N,Los santos
N,Cundinamarca
N,Cundinamarca
N,Colombia
N,Colombia
N,Pereira
N,Pereira
N,Cundinamarca
P,Bogota dc
P,Barrancabermeja
P,Cundinamarca
N,Cundinamarca
N,Candelaria
N,Colombia
P,Manizales
N,Candelaria
N,Colombia
N,Aqui y ahora
N,Colombia
N,Colombia
N,Colombia
N,Oakland
N,Por ai
N,Colombia
N,Japan   hiroshima
N,Colombia
N,It follows
N,Mailautyflor
N,Callepoche 33 
N,Dream it 
N,Mailautyflor
N,Multifandom
N,It follows
N,Colombia 
N,Mexico
N,Usa
P,Cundinamarca
N,Colombia
N,Tame
N,Colombia
N,Antioquia
N,Samarkand
N,Bogota dc
N,Colombia
N,Santander
N,Colombia
N,Antioquia
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Bogota 
N,Complexo do lins
P,Santa marta colombia
N,Guayaquil 
N,Colombia
N,Ecuador
P,Colombia
N,Cundinamarca
N,El retiro
N,Colombia
N,Bogota 
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Complexo do lins
N,Cundinamarca
N,Hong kong
P,Colombia
N,Complexo do lins
N,Terra de marreta 
N,Santa cruz
N,Complexo do lins
P,Complexo do lins
N,Complexo do lins
N,Colombia
N,Armenia
P,Pembroke pines
P,Colombia
P,Colombia
P,Colombia
P,Cundinamarca
P,Colombia
P,Colombia
P,El cielo
P,Colombia
P,Antioquia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Marinilla
P,Colombia
N,Cundinamarca
N,Colombia
N,No seu 
N,Na sua cama 
N,Na sua casa 
N,Cdd15
N,Colombia
N,
N,Buenos aires
N,712  35
N,Colombia
N,Colombia
N,Bquilla
P,Cundinamarca
P,Colombia
P,Colombia
N,Ecuador
N,Argentina
N,Buenos aires
P,La gran caracas
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
P,Colombia
P,Colombia
P,Colombia
N,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Miami
P,Colombia
P,Brewster
P,Melbourne
P,Bolivar
P,Pompano beach
P,Colombia
P,Entre el campo y la ciudad
P,Colombia
P,Colombia
P,Cundinamarca
P,Colombia
P,Bogota colombia
P,Ut 25991901
P,Cundinamarca
P,Colombia
P,Tampa
P,Colombia
P,Colombia
P,Colombia
P,Atlantico
P,Colombia
P,Colombia
P,Atlantico
P,Valle del Cauca
P,Facatativ
P,Colombia
P,Colombia
P,Monteria
P,Colombia
P,Cundinamarca
P,Colombia
P,Antioquia
P,Cundinamarca
P,Planeta tierra
P,Colombia
P,Colombia
P,Santa marta
P,Colombia
P,Santa marta colombia
P,Antioquia
P,Colombia
P,Puerto la cruz
P,Colombia
P,Itagui
P,Colombia
P,Colombia
P,Bajo este cielo
N,Colombia
P,Lejos de aqui
N,Costa rica
N,Cundinamarca
N,Colombia
N,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Cundinamarca
N,Jungle
N,Cauca
N,Popayan cauca colombia
N,Colombia
N,Barrancabermeja
N,Colombia
N,Colombia
N,Meta
N,Colombia
N,Colombia
N,Bremen
P,Duitama boyaca
P,Colombia
P,Chia 
P,Atlantico
P,Pereira
P,Cundinamarca
P,Cundinamarca
P,Bogota 
P,Santander 
P,Cundinamarca
N,Atlantico
N,Facebook
N,Colombia
N,Colombia
N,Pereira
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Bogota dc
N,Tolima
N,Colombia
N,Santander 
N,Colombia
N,Cundinamarca
N,Valle del cauca
N,Bogota dc
N,Colombia
N,Colombia
N,Colombia
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Complexo do lins
P,Colombia
P,Antioquia
P,Colombia
P,Colombia
P,Islas canarias
P,Colombia
P,Medellin colombia
P,Caracas
P,Colombia
P,Colombia
P,Colombia
P,Cundinamarca
P,Colombia
P,Valle del Cauca
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Bolivar
P,Bolivar
P,Colombia
P,Norte de Santander
P,Colombia
P,Colombia
P,Colombia
P,Los angeles
P,Cartagena la fantastica
P,Curacao
P,Cundinamarca
P,Colombia
P,Colombia
P,Colombia
P,Antioquia
P,Sincelejo
P,Colombia
P,Estados unidos
P,Colombia
P,Colombia
P,Cundinamarca
P,Valle del Cauca
P,Colombia
P,Cundinamarca
P,Colombia
P,Colombia
P,Amargura 5 1erpsanangel
N,Colombia
N,Colombia
P,Cota
P,Colombia
P,Colombia
P,Cundinamarca
P,Colombia
P,Colombia
P,Colombia
P,Guadalajara de buga
P,Quindio
P,Colombia
P,Colombia
P,Houston
P,Colombia
P,Yondo
P,Colombia
P,La calera cundinamarca
P,Colombia
P,Colombia
P,Cundinamarca
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Rionegro
P,Colombia
P,Bogota dc
P,Colombia
P,Antioquia
P,Colombia
P,Colombia
P,Cundinamarca
P,Antioquia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,La ciudad bonita
P,Colombia
P,Colombia
P,Colombia
P,En algun lugar del mundo
P,Colombia
P,Cundinamarca
P,Colombia
P,Colombia
P,Norte de Santander
P,Colombia
P,Cali colombia
P,Sydney
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
N,Colombia
N,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Santiago de cali
P,Colombia
P,Colombia
P,Colombia
P,Chiquinquira
N,Melbourne
N,Complexo do lins
N,Rio de janeiro
N,Engenho da rainha
N,Colombia
N,Guayaquil
N,Colombia
N,Quito
N,Ecuador
N,Guayaquilea viviendo en quito
N,Ecuador
N,Ecuador
N,Ecuador
N,Quito
N,Colombia
N,Espaa
N,Colombia
N,Colombia
N,Portoviejo
N,Quito
N,Antioquia
N,La paz
N,Maicao
N,Pereira
N,Cundinamarca
N,Colombia
N,Santiago de cali
N,Colombia
N,Colombia
N,Buenos aires
N,Costa pobre
N,Colombia
N,Colombia
N,Colombia
N,Quito
N,Colombia
N,Quito ecuador
N,Wp 
N,Allyouneedisecuador
N,Araure venezuela
N,Colombia
N,Colombia
N,Antioquia
N,Colombia
N,Santa marta
N,Colombia
N,Colombia
N,Valle del cauca
N,Colombia
N,Sincelejo
N,Velez
N,Colombia
N,Bogota colombia
N,Bogota dc
N,Colombia
N,Bogot
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Barranquilla hermosa
N,Colombia
N,Armenia colombia
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Bogota 
N,Colombia
N,Colombia
N,Colombia
N,Valencia
N,Valledupar
N,Cundinamarca
N,Colombia
N,Colombia
N,Colombia
N,Monteria
N,Colombia
N,Colombia
N,Bogota dc
N,Bogota 
N,Colombia
N,Cundinamarca
N,Kioto
N,Valle del Cauca
N,Santiago de cali
N,Colombia
N,Cerete 
N,Colombia
N,Macondo
N,Por el mundo sin rumbo
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Atlantico
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Cali 
N,Colombia
N,Colombia
N,Antioquia
N,Cundinamarca
N,Valle del Cauca
N,Cundinamarca
N,Colombia
N,El infierno de otro planeta
N,Buenos aires
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,New york
N,Colombia
N,Cundinamarca
N,Valle del Cauca
N,Cauca
N,Lemuria
N,Atlantico
N,Tunja
N,Valle del cauca
N,Mi cabeza
N,Popayan cauca colombia
N,Cundinamarca
N,Cundinamarca
N,Santander
N,Colombia
N,Colombia
N,Colombia
N,Bogota colombia fusagasuga
N,Colombia
N,Acacias 
N,Valle del Cauca
N,Colombia
N,Colombia
N,Valle del Cauca
N,Cundinamarca
N,Colombia
N,Atlantico
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Antioquia
N,Colombia
N,Cundinamarca
N,Valle del cauca
N,Cundinamarca
N,Santander
N,Colombia
N,Cundinamarca
N,Cundinamarca
N,Valle del Cauca
N,Colombia
N,Colombia
N,Colombia
N,
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Antioquia
N,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Mas cerca de lo que crees
N,Colombia
N,Colombia
N,El santuario
N,Antioquia
N,Cundinamarca
N,Cundinamarca
N,Bogota colombia
N,B o g o t a  dc 
N,Santander
N,Bogota dc
N,Cundinamarca
N,Colombia
N,Antioquia
N,Pto plata dominican republic
N,Colombia
N,Valle del Cauca
N,Colombia
N,Colombia
N,S de cali
N,Armenia colombia
N,Atlanta
N,Candelaria
N,Pereira
N,Antioquia
N,Cundinamarca
N,Valle del Cauca
N,Colombia
N,Florencia caqueta
N,Atlantico
N,Macondo
N,Colombia
N,Cundinamarca
N,Colombia
N,Santander
N,Colombia bogota
N,Colombia
N,Cundinamarca
N,Colombia
N,Meta
N,Learning while i am earning
N,Cundinamarca
N,Colombia
N,Antioquia
N,Bogota dc
N,Colombia
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Cartagena bol
N,Magdalena
N,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Valle del Cauca
N,Colombia
N,Colombia
N,Barranquilla 
N,Alberta
N,Atlantico
N,Colombia
N,Atlantico
N,Meta
N,Antioquia
N,Colombia
N,Cundinamarca
N,Santa marta colombia
N,Cundinamarca
N,Colombia
N,Cundinamarca
N,Bogotrashcity 
N,Colombia
N,Atlantico
N,Cundinamarca
N,Pereira
N,Colombia
N,Colombia
N,Cauca
N,Colombia
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Cundinamarca
N,Cundinamarca
N,Latinoamerica
N,Valle del Cauca
N,On my bike
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Washington
N,Donde me llevan mis sueos
N,Colombia
N,Colombia
N,Valle del Cauca
N,La calera
N,Bogota dc
N,Bogota colombia
N,Valle del Cauca
N,World
N,Colombia
N,Colombia
N,Tunja
N,Colombia
N,Manizales
N,Colombia
N,Copacabana
N,Valle del Cauca
N,Cundinamarca
N,Meta
N,Antioquia
N,Colombia
N,Valle del Cauca
N,Colombia
N,Barquitos de papel
N,Atlantico
N,Punta gallina
N,Colombia
N,Colombia
N,Valle del Cauca
N,Bogota dc
N,Monteria
N,Colombia
N,Antioquia
N,Colombia
N,Colombia
N,Cundinamarca
N,Cundinamarca
N,Colombia
N,Santa marta
N,Colombia
N,Colombia
N,Barranquilla 
N,Tauramena
N,Colombia
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Valle del Cauca
N,Cundinamarca
N,Bogota 
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Atlantico
N,Colombia
N,Valle del Cauca
N,Colombia
N,Pereira
N,Colombia
N,Bogota dc
N,Cundinamarca
N,Colombia
N,Colombia
N,Cundinamarca
N,Colombia
N,Bogota colombia
N,Los angeles
N,Colombia
N,Santander
N,Cundinamarca
N,Colombia
N,Colombia
N,Colombia
N,Santafe de bogota
N,Cundinamarca
N,Antioquia
N,Sur america
N,Cundinamarca
N,Cheesecake caramel
N,Venezuela
N,Colombia
N,Ciudad autonoma de buenos aire
N,Colombia
N,Colombia
N,Cundinamarca
N,Baranoa
N,Bogota dc
N,Bogota 
N,Bogota distrito cardenal
N,Antioquia
N,Santiago
N,5045544
N,Colombia
N,Cundinamarca
N,Cundinamarca
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,La ciudad de tantos
N,Curaao
N,Bogota 
N,Colombia
N,Antioquia
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Pereira
N,Colombia
N,Meta
N,Colombia
N,Colombia
N,Colombia
N,Meta
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Cundinamarca
N,Popayork city the bronx
N,Colombia
N,Colombia
N,Colombia
N,Palmira
N,Antioquia
N,Cundinamarca
N,At the coffee land
N,Colombia
P,Colombia
N,Rio de janeiro
N,Complexo do lins
N,Madureira
N,Colombia
N,Vaz lobo
N,Madureira
N,Colombia
N,Venezuela
N,Colombia
N,Ecuador
N,Colombia
N,Colombia
N,Colombia
N,Quito
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,La paz 
N,Pereira
N,Guatemala
N,Jnss
P,Colombia
P,Cundinamarca
N,Colombia
P,Colombia
P,Colombia
P,Tlalnepantla de baz
N,Colombia
N,Palmira
N,Colombia
N,Colombia
N,Ecuador
N,Colombia
N,Colombia
N,Colombia
P,Colombia
P,Dominican republic
P,Colombia
P,Colombia
N,Im cndian but americas my city
N,Berwyn
N,San antonio
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Panama
N,Quito 
N,Colombia
N,Lejos de btstwt v
N,Valle del Cauca
N,Colombia
P,Dream it 
N,Antioquia
N,Guayaquil
N,No respondo dms
N,Latam
N,Venezuela
N,No respondo dms
N,Colombia
N,Latam
N,No respondo dms
N,Colombia
N,Rio de janeiro
N,Rio
N,Colombia
N,Jacarepagua
P,Bogota 
N,Colombia
N,Colombia
P,Colombia
P,Cundinamarca
P,Cundinamarca
P,Colombia
P,Colombia
P,Colombia
P,Valle del Cauca
P,Colombia
P,Antioquia
P,Colombia
P,Colombia
N,Cundinamarca
N,Colombia
N,Loja
N,Loja 
N,Loja
N,En loxa
N,Loja
N,Colombia
N,Ciudad de buenos aires
P,Pto ordaz 
P,Colombia
P,Elbarrioconchavez
P,Venezuela
N,Lima
N,Duran
N,Quito
N,Ecuador
N,Colombia
N,Ecuador
N,Colombia
N,Guayaquil
N,Colombia
N,Guayaquil
N,Colombia
N,Cuenca
N,Colombia
N,Espaa
N,Colombia
N,Colombia
N,Colombia
N,Donde haya campaas
N,Colombia
N,Complexo do lins
N,Boston
P,Colombia
N,Salta
N,Colombia
N,Ecuador
N,Ecuador
N,Colombia
N,Quito ecuador
N,Tibu norte de santander
N,Ecuador
N,Manabi
P,Valencia
N,No seu corao
N,Bem casada
N,Paris
N,Volte smp pra fuxicar  
N,No seu cuzin
N,Colombia
N,Bangu crime 
N,Complexo do lins 
N,23082016 
N,colombia
N,Complexo do lins
N,So joo de meriti
N,Thanksi appreciate you
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,No soy de anapoima
N,Colombia
N,Cundinamarca
N,Houston
N,Pereira
N,Colombia
N,Antioquia
N,Colombia
N,Colombia
P,Venezuela
N,Colombia
N,Medellin 
N,Pereira
N,Colombia
N,Colombia
N,Colombia
N,Maracaibo
N,El cielo
N,Colombia
N,Colombia
N,Canada
N,Colombia
N,Colombia
N,Colombia
N,United states
N,Cundinamarca
N,Worldwide
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Wimillandes
N,Pty
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Msnizalez
N,Colombia
N,Colombia
N,Tolima
N,Colombia
N,Cundinamarca
N,Usa
N,Colombia
N,Colombia
N,Colombia
N,Funza
N,Colombia
N,Abu dhabi
N,Miami
N,San francisco
N,Colombia
N,Bogota colombia
N,Antioquia
N,Ayapel
N,Colombia
N,Colombia
N,Venezuela
N,Colombia
N,Esmeraldas
N,Cundinamarca
N,Colombia
N,Colombia
N,Minas gerais brasil
N,Colombia
N,Llanos orientales
N,Colombia
N,
N,Colombia
N,Colombia
N,Cundinamarca
N,Antioquia
N,Colombia
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Cundinamarca
N,Colombia con amor
N,Colombia
N,Pereira
N,Colombia
N,Twitter
N,Cundinamarca
N,Colombia
N,Llanos orientales
N,En algun lugar
N,Panama
N,Colombia
N,Medellin 
N,Colombia
N,Narnia narco bananera
N,Colombia
N,Colombia
N,Colombia
N,Pompano beach
N,Cundinamarca
N,Colombia
N,Cundinamarca
N,Colombia
P,Colombia
P,Colombia
P,Abu dhabi
P,Colombia
P,Colombia
P,Cundinamarca
P,Cundinamarca
P,Colombia
P,Colombia
N,Colombia
N,Colombia
N,Lima
N,Planeta tierra
N,Quito
N,Nippon
N,Colombia
N,Colombia
N,Colombia
N,Antioquia
N,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Norte de Santander
N,Colombia
N,Argentina
N,Colombia
N,Bogota colombia
N,Tierra verde
N,Colombia
N,Colombia
N,Ecuador
N,Colombia
N,Colombia
N,Ecuador
N,Ecuador
N,Ecuador
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Cundinamarca
N,Antioquia
N,Colombia
N,Colombia
N,Cundinamarca
N,Colombia
N,Venezuela
N,Colombia
N,Santa marta magdalena colombia
N,Envigado antioquia colombia
N,Colombia
N,Barranquilla 
N,Colombia
N,Colombia
N,Llanos orientales
N,Pereira
N,Caracas
N,El cielo
N,Colombia
N,Funza
N,Colombia
N,Eeuu
N,Colombia
N,Colombia
N,Tangamandapio
N,San martin de los llanos
N,Esmeraldas
N,Colombia
N,Santa marta 
N,Machala city
N,Antioquia
N,Sincelejo
N,Colombia
N,Colombia
N,Pereira colombia
N,Colombia
N,Colombia
N,Cundinamarca
N,Australia
N,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Antioquia
N,Colombia
N,World
N,Colombia
N,Antioquia
N,Antioquia
N,Colombia
N,Guayaquil ecuador
N,Caracas
N,Atlantico
N,Colombia
N,Santander
N,Colombia
N,Colombia
N,Colombia
N,Cota
N,Colombia
N,Cundinamarca
N,Antioquia
N,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Venezuela
N,Colombia
N,Guadalajara de buga
N,Colombia
N,Colombia
N,Colombia
N,Manizales
N,Naples fl eeuu
N,Cundinamarca
N,Colombia
N,Colombia
N,Medellin 
N,Antioquia
N,Cundinamarca
N,Cundinamarca
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Constitucion 1886
N,Colombia
N,Aqui y ahora
N,Colombia
N,Colombia
N,Colombia
N,Argentina
N,Cundinamarca
N,Canada
N,Cundinamarca
N,Colombia
N,Cundinamarca
N,Colombia
N,Al fontanone si  in salvo
N,Antioquia
N,Somewhere over the rainbow 
N,Colombia
N,Ciudad star
N,Colombia
N,Colombia
N,Colombia
N,Antioquia
N,Vereda san carlos
N,Colombia
N,Colombia
N,Colombia
N,Bajo el mar
N,Colombia
N,Colombia
N,Itagui
N,Quito
N,United states
N,Quito
N,Colombia
N,Antioquia
N,Cuenca
N,Colombia
N,Antioquia
N,Cundinamarca
N,Envigado antioquia colombia
N,Colombia
N,Colombia
N,A r k h a m
N,Antioquia
N,Rancho verde
N,Colombia
N,Cundinamarca
N,Marte
N,Colombia
N,Santa marta magdalena colombia
N,Colombia
N,Madrid
N,Caracas
N,Colombia
N,Venezuela
N,Colombia
N,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Caracas
N,Cundinamarca
N,Colombia
N,Colombia
N,Valle del Cauca
N,Antioquia
N,Narnia narco bananera
N,Manizales
N,Colombia
N,Manizales
N,Cundinamarca
N,Colombia
N,Colombia
N,Lima
N,Colombia
N,Colombia
N,Planeta tierra
N,Colombia
N,Antioquia
N,Atlantico
N,Colombia
N,Colombia
N,Colombia
N,Tamarc broward fl
N,Independencia
N,Colombia
N,Fl
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia con amor
N,Colombia
N,Colombia
N,Colombia
N,New york
N,Colombia
N,Atlantico
N,Colombia
N,Aracaju
N,Colombia
N,Colombia
N,Tolima
N,Colombia
N,Caracas
N,Aqui y alla 
N,Colombia
N,Antioquia
N,Yondo
N,Venezuela
N,Antioquia
N,Colombia
N,Colombia
N,Colombia casi bolivariana
N,Canada
N,Acacias
N,Bogota colombia
N,Cundinamarca
N,Colombia
N,El cielo
N,Colombia
N,Colombia
N,Venezuela
N,Ici
N,Colombia
N,Colombia
N,Colombia
N,Venezuela y no emigrare
N,Colombia
N,Colombia
N,Colombia
N,United states
N,Santa marta
N,Antioquia
N,Cundinamarca
N,Cundinamarca
N,Bogota colombia
N,Uribista
N,Colombia
N,Cundinamarca
N,Pereira
N,Colombia
N,Colombia
N,Colombia
N,New york
N,Ganimedes
N,Colombia
N,Colombia
N,Llanos orientales
N,Colombia
N,Bogota 
N,Colombia
N,Funza
N,Colombia
N,Colombia
N,World
N,Colombia
N,Colombia
N,Colombia
N,Puerto ordaz
N,Colombia
N,Colombia
N,No soy de anapoima
N,Colombia
N,Colombia
N,Manizales
N,Antioquia
N,Colombia
N,Colombia
N,Pompano beach
N,Colombia
N,Colombia
N,Manizales
P,Colombia
P,Atlantico
P,Colombia
P,Madrid
P,Colombia
N,Antioquia
N,Colombia
N,Colombia
P,Guaratiba
N,Colombia
N,Quito ecuador
N,Colombia
N,Nairobi
N,Complexo do lins
N,Colombia
P,Colombia
P,Caracas
N,Bolivar
N,Colombia
N,Colombia
N,Colombia
N,Zimbabwe
N,Colombia
N,Colombia
N,Cundinamarca
N,Cundinamarca
N,Colombia
N,Colombia
N,Colombia
N,West palm beach
N,Cundinamarca
N,Cundinamarca
N,Colombia
N,En pie de lucha
N,Colombia
N,Corozal sucre
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Morelia
N,East coast
N,Antioquia
N,Colombia
N,Complexo da praa seca
N,Errejota
N,Terra do mrt cvrl
N,Por perto
N,Rio de janeiro
N,Curicica 
N,Complexo do lins
N,Colombia
P,Bolivar
N,Colombia
N,Bartlett
N,Antioquia
N,Colombia
P,Todo gratis solo a uribistas
P,Colombia
N,Colombia
N,Colombia
N,Colombia
P,Valle del Cauca
N,Valle del Cauca
N,Colombia
N,Duitama
N,Mexico
N,Potato city
P,Ocaa colombia
N,Colombia
N,Colombia
N,Popayan bon temps
N,El himalaya
N,Cundinamarca
N,Atlantico
N,Colombia
P,Valle del Cauca
N,Bogota dc
N,La calera
N,Nariño
N,Meta
N,Colombia
N,Colombia
N,Congreso de la republica
N,Bogota 
N,Santa marta
N,Santa marta
N,Colombia
P,Colombia
N,Colombia
N,Colombia
N,Antioquia
N,Pompano beach
N,Colombia
N,Colombia
N,Colombia
N,Fort lauderdale
N,Colombia
N,Cdmx
N,Mexico df
N,Colombia
N,Mexico
N,Benito juarez
N,Gustavo a madero
N,Colombia
P,Quito
P,Colombia
P,Quito
P,Quito
P,Somewhere over the rainbow
P,Quito
P,Colombia
N,Quito
N,Colombia
N,Guayaquil
N,Colombia
N,Colombia
N,Antioquia
N,Colombia
N,Santa marta
N,Santander
N,De colombia
N,San jose
N,Colombia
N,Antioquia
N,Colombia
N,Colombia
N,Chatuba
N,Brooklin
N,Tachira
N,Cundinamarca
N,Colombia
N,Atlantico
N,La pintana
N,Punta arenas
N,Guayas
N,Quito ecuador
N,Quito
N,Colombia
N,patriaparasiempre
P,Mexicali
P,Colombia
P,Colombia
P,Colombia
N,America latina
N,Colombia
N,Colombia
N,Facatativ
P,Colombia
P,Maracay
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Bogot
N,Colombia
N,Colombia
N,Colombia
N,Velez
N,Colombia
N,Colombia
N,Valle del Cauca
N,Monteria 
N,Cundinamarca
N,Colombia
N,Planeta tierra
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Santander
N,Colombia
N,San jose
N,Colombia
P,Lo mio nunca te va a salir
N,Colombia
N,San jose
N,Cundinamarca
N,Colombia
N,Tunja
N,Latinoamerica
N,Altiplano cundiboyacense
P,Norte de Santander
P,Cundinamarca
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Cumbal 
P,Colombia
P,Antioquia
P,Colombia
P,Colombia
P,Norte de Santander
P,Colombia
P,Valle del Cauca
P,El mundo
P,Colombia
P,Colombia
P,Soacha
P,Colombia
P,Calicolombia
P,Valle del Cauca
P,El uberrimo
P,Santiago de cali
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Pereira
P,Colombia
P,Colombia
P,Colombia
P,Cauca
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Zipaquira
P,En algun lugar del mundo
P,Colombia
P,Cundinamarca
P,Colombia
N,Colombia
N,Colombia
P,Valle del Cauca
P,Colombia
P,Monteria
P,Colombia
P,Santander
P,Colombia
P,Colombia
P,Colombia
P,Cundinamarca
P,Pereira
P,Panama city
P,Colombia
P,Cundinamarca
P,Colombia
P,San petersburgo
P,Cordoba
P,Colombia
P,Colombia
P,Colombia
P,Colombia
P,Valle del Cauca
P,Colombia
P,Santo andre
N,Colombia
N,Colombia
N,Colombia
N,Valle del Cauca
N,Colombia
N,Sucre
N,Colombia
N,Cundinamarca
N,Cundinamarca
N,Bogota colombia
N,Colombia
N,Atlantico
N,Bolivar
N,Cundinamarca
N,Colombia
N,La friendzone
N,Cundinamarca
N,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Cydonia
N,Colombia
N,Colombia
N,Colombia
N,Valledupar
N,Cundinamarca
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,La republica del bara
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Antioquia
N,Cundinamarca
N,Colombia
N,Colombia
N,Valledupar
N,Sincelejo
N,Estados unidos
N,Tolima
N,Cundinamarca
N,Sinubicacion
N,Cundinamarca
